"???çÜ","Team","Team id","Flag"
"34","Ghana","32","https://cndevdemo.oss-cn-shanghai.aliyuncs.com/fifa/Ghana.png"
"33","Uruguay","31","https://cndevdemo.oss-cn-shanghai.aliyuncs.com/fifa/Uruguay.png"
"32","South Korea","30","https://cndevdemo.oss-cn-shanghai.aliyuncs.com/fifa/South Korea.png"
"31","Portugal","29","https://cndevdemo.oss-cn-shanghai.aliyuncs.com/fifa/Portugal.png"
"30","Serbia","28","https://cndevdemo.oss-cn-shanghai.aliyuncs.com/fifa/Serbia.png"
"29","Cameroon","27","https://cndevdemo.oss-cn-shanghai.aliyuncs.com/fifa/Cameroon.png"
"28","Switzerland","26","https://cndevdemo.oss-cn-shanghai.aliyuncs.com/fifa/Switzerland.png"
"27","Brazil","25","https://cndevdemo.oss-cn-shanghai.aliyuncs.com/fifa/Brazil.png"
"26","Canada","24","https://cndevdemo.oss-cn-shanghai.aliyuncs.com/fifa/Canada.png"
"25","Belgium","23","https://cndevdemo.oss-cn-shanghai.aliyuncs.com/fifa/Belgium.png"
"24","Croatia","22","https://cndevdemo.oss-cn-shanghai.aliyuncs.com/fifa/Croatia.png"
"23","Morocco","21","https://cndevdemo.oss-cn-shanghai.aliyuncs.com/fifa/Morocco.png"
"22","Costa Rica","20","https://cndevdemo.oss-cn-shanghai.aliyuncs.com/fifa/Costa Rica.png"
"21","Germany","19","https://cndevdemo.oss-cn-shanghai.aliyuncs.com/fifa/Germany.png"
"20","Spain","18","https://cndevdemo.oss-cn-shanghai.aliyuncs.com/fifa/Spain.png"
"19","Japan","17","https://cndevdemo.oss-cn-shanghai.aliyuncs.com/fifa/Japan.png"
"18","Denmark","16","https://cndevdemo.oss-cn-shanghai.aliyuncs.com/fifa/Denmark.png"
"17","Tunisia","15","https://cndevdemo.oss-cn-shanghai.aliyuncs.com/fifa/Tunisia.png"
"16","Australia","14","https://cndevdemo.oss-cn-shanghai.aliyuncs.com/fifa/Australia.png"
"15","France","13","https://cndevdemo.oss-cn-shanghai.aliyuncs.com/fifa/France.png"
"14","Saudi Arabia","12","https://cndevdemo.oss-cn-shanghai.aliyuncs.com/fifa/Saudi Arabia.png"
"13","Mexico","11","https://cndevdemo.oss-cn-shanghai.aliyuncs.com/fifa/Mexico.png"
"12","Poland","10","https://cndevdemo.oss-cn-shanghai.aliyuncs.com/fifa/Poland.png"
"11","Argentina","9","https://cndevdemo.oss-cn-shanghai.aliyuncs.com/fifa/Argentina.png"
"10","Wales","8","https://cndevdemo.oss-cn-shanghai.aliyuncs.com/fifa/Wales.png"
"9","Iran","7","https://cndevdemo.oss-cn-shanghai.aliyuncs.com/fifa/Iran.png"
"8","USA","6","https://cndevdemo.oss-cn-shanghai.aliyuncs.com/fifa/USA.png"
"7","England","5","https://cndevdemo.oss-cn-shanghai.aliyuncs.com/fifa/England.png"
"6","Qatar","4","https://cndevdemo.oss-cn-shanghai.aliyuncs.com/fifa/Qatar.png"
"5","Ecuador","3","https://cndevdemo.oss-cn-shanghai.aliyuncs.com/fifa/Ecuador.png"
"4","Senegal","2","https://cndevdemo.oss-cn-shanghai.aliyuncs.com/fifa/Senegal.png"
"3","Netherlands","1","https://cndevdemo.oss-cn-shanghai.aliyuncs.com/fifa/Netherlands.png"
